# STATION: WBB,,,,,
# STATION NAME: U of U William Browning Building,,,,,
# LATITUDE: 40.76623,,,,,
# LONGITUDE: -111.84755,,,,,
# ELEVATION [ft]: 4806,,,,,
# STATE: UT,,,,,
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1
,,Fahrenheit,%,Miles/hour,Degrees
WBB,09/07/2019 10:00 MDT,77.38,35.44,0.09,243.7
WBB,09/07/2019 10:01 MDT,77.49,35.4,0.04,259.9
WBB,09/07/2019 10:02 MDT,77.43,35.07,0.36,267.1
WBB,09/07/2019 10:03 MDT,77.81,34.47,0.07,267.1
WBB,09/07/2019 10:04 MDT,77.92,34.12,0.18,265.9
WBB,09/07/2019 10:05 MDT,77.81,34.83,2.59,233.6
WBB,09/07/2019 10:06 MDT,77.34,36.02,3.2,227.8
WBB,09/07/2019 10:07 MDT,76.93,37.71,2.19,210.6
WBB,09/07/2019 10:08 MDT,77.2,36.36,1.57,195.6
WBB,09/07/2019 10:09 MDT,77.49,35.89,1.14,202.1
WBB,09/07/2019 10:10 MDT,77.59,35.84,2.06,294.9
WBB,09/07/2019 10:11 MDT,77.59,35.37,0.67,285.7
WBB,09/07/2019 10:12 MDT,77.38,36.05,1.74,288.9
WBB,09/07/2019 10:13 MDT,77.13,36.51,1.81,302.6
WBB,09/07/2019 10:14 MDT,77.07,37.55,0.29,306.8
WBB,09/07/2019 10:15 MDT,77.36,37.31,3.22,222.4
WBB,09/07/2019 10:16 MDT,77.63,35.34,3.47,200.7
WBB,09/07/2019 10:17 MDT,77.79,35.09,3.91,205.3
WBB,09/07/2019 10:18 MDT,77.52,34.74,2.66,227.6
WBB,09/07/2019 10:19 MDT,77.38,35.04,0.09,213
WBB,09/07/2019 10:20 MDT,77.97,34.31,0.36,204.2
WBB,09/07/2019 10:21 MDT,78.17,33.71,3.6,224
WBB,09/07/2019 10:22 MDT,77.7,34.17,3.53,222.8
WBB,09/07/2019 10:23 MDT,76.96,35.53,2.66,217
WBB,09/07/2019 10:24 MDT,77.02,35.58,1.88,226.1
WBB,09/07/2019 10:25 MDT,77.29,35.62,2.06,172.2
WBB,09/07/2019 10:26 MDT,77.81,34.05,2.89,150.2
WBB,09/07/2019 10:27 MDT,78.26,32.44,1.36,174.6
WBB,09/07/2019 10:28 MDT,78.53,31.78,0.54,175
WBB,09/07/2019 10:29 MDT,79.07,31.55,0.04,174.8
WBB,09/07/2019 10:30 MDT,79.86,30.79,0.25,174.6
WBB,09/07/2019 10:31 MDT,80.35,30.31,0,
WBB,09/07/2019 10:32 MDT,80.24,31.18,0.13,179.3
WBB,09/07/2019 10:33 MDT,80.47,30.49,1.12,270.3
WBB,09/07/2019 10:34 MDT,79.9,30.88,1.16,262.5
WBB,09/07/2019 10:35 MDT,79.21,32.01,0.96,257.6
WBB,09/07/2019 10:36 MDT,78.85,32.42,0.85,257.7
WBB,09/07/2019 10:37 MDT,78.93,33.17,0.43,248.4
WBB,09/07/2019 10:38 MDT,79.02,32.77,1.81,226.4
WBB,09/07/2019 10:39 MDT,79.21,32.7,2.64,186.6
WBB,09/07/2019 10:40 MDT,79.45,31.6,3.27,190.9
WBB,09/07/2019 10:41 MDT,79.16,32.31,2.24,169.4
WBB,09/07/2019 10:42 MDT,79.47,32,2.1,125.6
WBB,09/07/2019 10:43 MDT,79.93,31.47,2.53,143.4
WBB,09/07/2019 10:44 MDT,80.06,31.39,2.1,158.2
WBB,09/07/2019 10:45 MDT,79.9,31.66,1.45,148.9
WBB,09/07/2019 10:46 MDT,79.84,31.56,0.94,161
WBB,09/07/2019 10:47 MDT,79.93,32.19,0.34,134.6
WBB,09/07/2019 10:48 MDT,79.83,32.34,1.03,50.98
WBB,09/07/2019 10:49 MDT,79.3,32.84,2.77,249.4
WBB,09/07/2019 10:50 MDT,78.76,32.8,2.06,223.9
WBB,09/07/2019 10:51 MDT,78.76,32.94,2.64,224.2
WBB,09/07/2019 10:52 MDT,78.73,33.4,2.86,197.3
WBB,09/07/2019 10:53 MDT,78.67,32.7,2.42,210.8
WBB,09/07/2019 10:54 MDT,78.13,33.51,2.48,212.7
WBB,09/07/2019 10:55 MDT,78.03,33.95,1.88,214.2
WBB,09/07/2019 10:56 MDT,78.03,33.98,1.97,225
WBB,09/07/2019 10:57 MDT,78.37,33.62,3.65,210.7
WBB,09/07/2019 10:58 MDT,78.08,33.76,4.27,227.1
WBB,09/07/2019 10:59 MDT,77.45,34.48,3.47,227.4
WBB,09/07/2019 11:00 MDT,77.14,34.82,2.04,232.5
WBB,09/07/2019 11:01 MDT,77.22,34.73,1.34,238.4
WBB,09/07/2019 11:02 MDT,77.54,34.19,1.19,238
WBB,09/07/2019 11:03 MDT,77.95,33.6,0.04,214
WBB,09/07/2019 11:04 MDT,78.35,33.25,0.6,245.3
WBB,09/07/2019 11:05 MDT,78.78,33.6,0.34,223.8
WBB,09/07/2019 11:06 MDT,79.3,33.74,1.68,225.6
WBB,09/07/2019 11:07 MDT,79.72,32.46,1.97,273.8
WBB,09/07/2019 11:08 MDT,80.11,31.9,2.06,255.8
WBB,09/07/2019 11:09 MDT,80.15,31.78,1.72,234.2
WBB,09/07/2019 11:10 MDT,80.28,31.69,0.92,298.1
WBB,09/07/2019 11:11 MDT,80.53,31.62,2.04,280.7
WBB,09/07/2019 11:12 MDT,80.71,31.44,2.48,318.3
WBB,09/07/2019 11:13 MDT,80.71,31.09,2.86,310.7
WBB,09/07/2019 11:14 MDT,80.33,31.58,2.62,299.2
WBB,09/07/2019 11:15 MDT,79.66,32.32,2.73,267.1
WBB,09/07/2019 11:16 MDT,78.87,33.35,3,316.3
WBB,09/07/2019 11:17 MDT,78.19,33.9,2.24,324.6
WBB,09/07/2019 11:18 MDT,77.85,34.46,3.15,333.4
WBB,09/07/2019 11:19 MDT,77.63,34.73,3.09,341.1
WBB,09/07/2019 11:20 MDT,77.79,34.86,3.44,321.7
WBB,09/07/2019 11:21 MDT,78.17,35.84,2.21,256.6
WBB,09/07/2019 11:22 MDT,78.58,35.05,1.19,313.5
WBB,09/07/2019 11:23 MDT,79.12,34.09,1.86,257.7
WBB,09/07/2019 11:24 MDT,79.3,32.88,3.47,232.4
WBB,09/07/2019 11:25 MDT,79.29,32.92,3.38,231.7
WBB,09/07/2019 11:26 MDT,79.34,32.93,2.06,250.7
WBB,09/07/2019 11:27 MDT,79.65,32.56,1.52,231.6
WBB,09/07/2019 11:28 MDT,80.01,32.35,2.01,269.9
WBB,09/07/2019 11:29 MDT,79.93,32.05,3.09,269.3
WBB,09/07/2019 11:30 MDT,79.65,31.84,1.9,251.4
WBB,09/07/2019 11:31 MDT,79.16,32.51,2.59,233
WBB,09/07/2019 11:32 MDT,78.85,33.21,2.66,236.6
WBB,09/07/2019 11:33 MDT,79.05,32.85,4.18,267.7
WBB,09/07/2019 11:34 MDT,79.29,32.38,3.96,266.1
WBB,09/07/2019 11:35 MDT,79.43,31.86,2.59,268.1
WBB,09/07/2019 11:36 MDT,79.79,31.37,1.25,260.1
WBB,09/07/2019 11:37 MDT,80.37,31.05,3.36,245.3
WBB,09/07/2019 11:38 MDT,80.31,31.21,4.72,246.2
WBB,09/07/2019 11:39 MDT,79.83,31.39,5.3,248.7
WBB,09/07/2019 11:40 MDT,79.12,32.64,3,281.2
WBB,09/07/2019 11:41 MDT,79.38,32.45,2.17,321.5
WBB,09/07/2019 11:42 MDT,79.7,31.55,3.89,226.2
WBB,09/07/2019 11:43 MDT,79.36,32.58,5.41,239.4
WBB,09/07/2019 11:44 MDT,78.94,32.64,4.7,235
WBB,09/07/2019 11:45 MDT,78.48,33.59,4.09,227.8
WBB,09/07/2019 11:46 MDT,78.3,33.63,2.75,215.3
WBB,09/07/2019 11:47 MDT,78.57,33.12,1.48,189.5
WBB,09/07/2019 11:48 MDT,79.25,32.05,1.01,140.8
WBB,09/07/2019 11:49 MDT,80.15,31.61,2.82,184.7
WBB,09/07/2019 11:50 MDT,80.2,32.44,5.14,225.6
WBB,09/07/2019 11:51 MDT,79.5,33.09,1.41,216.7
WBB,09/07/2019 11:52 MDT,79.61,33.02,3.71,165.3
WBB,09/07/2019 11:53 MDT,79.97,33.14,3.83,193.6
WBB,09/07/2019 11:54 MDT,80.2,32.83,3.38,210.2
WBB,09/07/2019 11:55 MDT,80.2,32.84,2.13,162.7
WBB,09/07/2019 11:56 MDT,80.49,32.45,2.73,134.6
WBB,09/07/2019 11:57 MDT,80.89,31.56,3.62,190
WBB,09/07/2019 11:58 MDT,81.05,31.03,3.29,200.4
WBB,09/07/2019 11:59 MDT,81.21,31.14,3.24,237.9
WBB,09/07/2019 12:00 MDT,81.23,31.64,2.82,216.6
WBB,09/07/2019 12:01 MDT,81.5,31.29,2.68,249.7
WBB,09/07/2019 12:02 MDT,81.9,31.29,1.79,331.8
WBB,09/07/2019 12:03 MDT,82.31,30.06,1.05,243.7
WBB,09/07/2019 12:04 MDT,83.01,29.3,0.56,224.3
WBB,09/07/2019 12:05 MDT,83.37,28.63,1.9,185
WBB,09/07/2019 12:06 MDT,83.39,28.47,2.35,210
WBB,09/07/2019 12:07 MDT,82.99,29.38,2.8,231.5
WBB,09/07/2019 12:08 MDT,82.06,30.08,3.76,219.5
WBB,09/07/2019 12:09 MDT,81.57,31.21,3.56,258.2
WBB,09/07/2019 12:10 MDT,81.18,31.53,4.29,240.2
WBB,09/07/2019 12:11 MDT,80.65,31.61,5.17,197.8
WBB,09/07/2019 12:12 MDT,80.73,31.46,2.95,173
WBB,09/07/2019 12:13 MDT,81.16,31.12,1.21,339.7
WBB,09/07/2019 12:14 MDT,81.5,30.53,1.61,249.9
WBB,09/07/2019 12:15 MDT,81.41,29.86,1.74,274.2
WBB,09/07/2019 12:16 MDT,81.32,31.22,1.61,72.11
WBB,09/07/2019 12:17 MDT,81.7,30.53,1.39,80.6
WBB,09/07/2019 12:18 MDT,82.02,30.67,2.24,287.7
WBB,09/07/2019 12:19 MDT,82.06,29.7,1.36,230.5
WBB,09/07/2019 12:20 MDT,82.65,29.46,0.43,230
WBB,09/07/2019 12:21 MDT,83.19,28.8,2.89,286.8
WBB,09/07/2019 12:22 MDT,82.9,28.65,2.53,339.3
WBB,09/07/2019 12:23 MDT,82.29,29.81,1.72,326.5
WBB,09/07/2019 12:24 MDT,82.26,30.08,2.33,272.8
WBB,09/07/2019 12:25 MDT,82.27,29.63,2.93,251.8
WBB,09/07/2019 12:26 MDT,82.02,29.07,1.34,210.9
WBB,09/07/2019 12:27 MDT,82.17,28.88,0.74,202.6
WBB,09/07/2019 12:28 MDT,82.58,28.37,1.41,161.2
WBB,09/07/2019 12:29 MDT,82.94,28.57,2.24,281
WBB,09/07/2019 12:30 MDT,82.8,28.55,4.56,250.8
WBB,09/07/2019 12:31 MDT,82.31,29,3.56,279.6
WBB,09/07/2019 12:32 MDT,81.81,29.43,4.56,252.1
WBB,09/07/2019 12:33 MDT,81.34,30.21,2.57,242
WBB,09/07/2019 12:34 MDT,81.73,30.36,1.36,223.8
WBB,09/07/2019 12:35 MDT,82.38,29.95,0.87,359.1
WBB,09/07/2019 12:36 MDT,82.38,28.97,3.02,276.9
WBB,09/07/2019 12:37 MDT,81.52,29.74,3.11,327
WBB,09/07/2019 12:38 MDT,81.61,29.67,2.17,290.6
WBB,09/07/2019 12:39 MDT,82.13,29.45,0.81,275.7
WBB,09/07/2019 12:40 MDT,82.38,29.13,2.64,321.3
WBB,09/07/2019 12:41 MDT,82.44,29.55,2.24,248.6
WBB,09/07/2019 12:42 MDT,82.18,29.53,2.33,287.9
WBB,09/07/2019 12:43 MDT,82.09,30.4,1.92,86.5
WBB,09/07/2019 12:44 MDT,82.35,29.97,0.2,55.48
WBB,09/07/2019 12:45 MDT,83.01,29.73,0.72,27.78
WBB,09/07/2019 12:46 MDT,83.43,28.91,2.04,273.3
WBB,09/07/2019 12:47 MDT,82.99,28.27,6.62,308.6
WBB,09/07/2019 12:48 MDT,81.79,29.29,6.46,325.1
WBB,09/07/2019 12:49 MDT,81.23,29.72,4.68,328.8
WBB,09/07/2019 12:50 MDT,81.5,30.52,2.95,278.1
WBB,09/07/2019 12:51 MDT,81.75,29.64,4.72,275.9
WBB,09/07/2019 12:52 MDT,81.86,29.35,4.43,266.3
WBB,09/07/2019 12:53 MDT,81.66,29.24,5.17,254.1
WBB,09/07/2019 12:54 MDT,81.37,29.81,1.74,275.7
WBB,09/07/2019 12:55 MDT,81.97,29.59,1.88,253
